text	label
[SEP]  RT @Circa_LPN: hey @XavierWoodsPhD .... what's going on here?!?  (((╹д╹;))) https://t.co/hjmaGh1zqQ	0.0
[SEP]  (((NEW VIDEO))) @Time2LiveEnt interviews #hiphop group @TripleSMG https://t.co/qZLHrntkWQ #videointerview #theindiemovement #t2letv #vbmg	0.0
[SEP]  (((Hot New Freestyle))) Ft Mally King of @TripleSMG ~ https://t.co/CAQW9hLvLH Backstage @fillmoress #makesound #dmv	0.0
"[SEP]  (((random))) internet outage again.
Oy vey shut it down!"	1.0
"[SEP]  @Seanguy1234 ""Jeb Bush""? more like (((Jeb Bush)))"	1.0
[SEP]  @drawn2theWaters In any event, as always: ((((hugs)))) ❤️	0.0
[SEP]  @Mrs_Smith_68 I know it's been rough dear. And all I can do is offer you did you told hugs from across the world (((❤️)))	0.0
[SEP]  @MiniLaddd get a man that can do both (((o(*ﾟ▽ﾟ*)o)))	0.0
[SEP]  @DylonShow @hikikomoriamy pokemon snap (((o(*ﾟ▽ﾟ*)o))) https://t.co/MzEwwmldYv	0.0
[SEP]  (((Crowder))) The Coward https://t.co/yXx7x8br6j	1.0
[SEP]  Weev Nails Down the (((Alt-Right))) Question https://t.co/M7o4Fnvkck	1.0
[SEP]  Gotten your tickets for #Olic3 yet? #DontDull it promises to be (((🔥HOT🔥))). Tickets on @nairabox https://t.co/3DPD2H0oJ4 #15daysToOLIC3 https://t.co/eMFGG1gx2Z	0.0
[SEP]  RT @shannonNTIL: There will be new videos SOON! Who's excited?? (((hopefully some of u lol)))	0.0
"[SEP]  RT @urbit_: FYI: neither Urbit nor Curtis (((Yarvin))) has anything to do with the ""coincidence detector."""	1.0
[SEP]  @LJAstoria (((Hugs)))	0.0
[SEP]  @firingouty family can be the worst. (((hugs)))	0.0
[SEP]  RT @Clausfarre143: Sick Hillary's campaign all washed up... How low will the (((media))) go to save her now? #WR #hillness https://t.co/vci…	1.0
[SEP]  RT @ObamaMalik: ((((((((((CNN))))))))))	1.0
[SEP]  @mimiitsyou madali lang bes talaga wala lang akong time pumunta sa inyo dahil sa time na walang pasok ako pupunta akong main (((*may-ari)))	0.0
"[SEP]  1. twice (((because)))
2. got7
3. baek a yeon
4. 15&amp;
5. miss a or wonder girls??????"	0.0
[SEP]  @ChaN_630 ((( ....KOK GRANDMA TAU TANGAN AKU KEPENTOK PINTU KEMARIN?? WAH SYANG CERITA YA???  )))	0.0
[SEP]  (((((Sepresi))))) https://t.co/Q2ViJomHBE	0.0
[SEP]  Celebrating the animated debut of the Serious Punch with a sketch! (((o(*ﾟ▽ﾟ*)o))) https://t.co/HoQPvxZ9lG	0.0
[SEP]  @Troloze Okay! Thank you! (((o(*ﾟ▽ﾟ*)o)))	0.0
[SEP]  @MTD1954 Will Ferrell is the goyish medium for (((JUDD APATOW))) and (((LORNE LIPOWITZ))).	1.0
[SEP]  RT @ramzpaul: ((( Sanders ))) https://t.co/Oui8xLAxTM	1.0
[SEP]  خصوصاً ان ويز خليفه مو اي شيء تسحبين عليه (((ايقونة هيبهوب))) وش كان ضرها لو طلعت وغنّت؟المفروض انها مشّت الموضوع وتكون متعودة على هيك اشياء	0.0
[SEP]  (((ديفرنت ستيج ذان ماي)))!!!!!. https://t.co/4t31YyBlVR	0.0
[SEP]  Yanhe and Tianyi have such busy schedules lately I hardly get to see them ((((；゜Д゜)))	0.0
[SEP]  Sometimes Yanhe brings her friends over for dinner, they're so cute (((o(*ﾟ▽ﾟ*)o)))	0.0
[SEP]  @angel_reads (((hugs))) hope you're okay x	0.0
[SEP]  RT @dril: i refuse to consume any product that has been created by, or is claimed to have been created by, the (((Keebler Elves)))	1.0
[SEP]  #DumpStarWars is a good start, but dumping all of (((Hollywood))) would be better	1.0
[SEP]  Cucked Journalist wonders why @DRUDGE didn't try to stop Trump.   Drudge must not have got the (((globalist))) memo https://t.co/2ZLyzZAEOz	1.0
[SEP]  ((((Tonight and Every Wednesday Night!))) Coming out and Turn Up!! 🍗🍸🍹🍷🍗🍸🍹🍷🍗 http://t.co/3SCoCn0ea0	0.0
