text	label
context:  post: RT @Circa_LPN: hey @XavierWoodsPhD .... what's going on here?!?  (((╹д╹;))) https://t.co/hjmaGh1zqQ	0.0
context:  post: (((NEW VIDEO))) @Time2LiveEnt interviews #hiphop group @TripleSMG https://t.co/qZLHrntkWQ #videointerview #theindiemovement #t2letv #vbmg	0.0
context:  post: (((Hot New Freestyle))) Ft Mally King of @TripleSMG ~ https://t.co/CAQW9hLvLH Backstage @fillmoress #makesound #dmv	0.0
"context:  post: (((random))) internet outage again.
Oy vey shut it down!"	1.0
"context:  post: @Seanguy1234 ""Jeb Bush""? more like (((Jeb Bush)))"	1.0
context:  post: @drawn2theWaters In any event, as always: ((((hugs)))) ❤️	0.0
context:  post: @Mrs_Smith_68 I know it's been rough dear. And all I can do is offer you did you told hugs from across the world (((❤️)))	0.0
context:  post: @MiniLaddd get a man that can do both (((o(*ﾟ▽ﾟ*)o)))	0.0
context:  post: @DylonShow @hikikomoriamy pokemon snap (((o(*ﾟ▽ﾟ*)o))) https://t.co/MzEwwmldYv	0.0
context:  post: (((Crowder))) The Coward https://t.co/yXx7x8br6j	1.0
context:  post: Weev Nails Down the (((Alt-Right))) Question https://t.co/M7o4Fnvkck	1.0
context:  post: Gotten your tickets for #Olic3 yet? #DontDull it promises to be (((🔥HOT🔥))). Tickets on @nairabox https://t.co/3DPD2H0oJ4 #15daysToOLIC3 https://t.co/eMFGG1gx2Z	0.0
context:  post: RT @shannonNTIL: There will be new videos SOON! Who's excited?? (((hopefully some of u lol)))	0.0
"context:  post: RT @urbit_: FYI: neither Urbit nor Curtis (((Yarvin))) has anything to do with the ""coincidence detector."""	1.0
context:  post: @LJAstoria (((Hugs)))	0.0
context:  post: @firingouty family can be the worst. (((hugs)))	0.0
context:  post: RT @Clausfarre143: Sick Hillary's campaign all washed up... How low will the (((media))) go to save her now? #WR #hillness https://t.co/vci…	1.0
context:  post: RT @ObamaMalik: ((((((((((CNN))))))))))	1.0
context:  post: @mimiitsyou madali lang bes talaga wala lang akong time pumunta sa inyo dahil sa time na walang pasok ako pupunta akong main (((*may-ari)))	0.0
"context:  post: 1. twice (((because)))
2. got7
3. baek a yeon
4. 15&amp;
5. miss a or wonder girls??????"	0.0
context:  post: @ChaN_630 ((( ....KOK GRANDMA TAU TANGAN AKU KEPENTOK PINTU KEMARIN?? WAH SYANG CERITA YA???  )))	0.0
context:  post: (((((Sepresi))))) https://t.co/Q2ViJomHBE	0.0
context:  post: Celebrating the animated debut of the Serious Punch with a sketch! (((o(*ﾟ▽ﾟ*)o))) https://t.co/HoQPvxZ9lG	0.0
context:  post: @Troloze Okay! Thank you! (((o(*ﾟ▽ﾟ*)o)))	0.0
context:  post: @MTD1954 Will Ferrell is the goyish medium for (((JUDD APATOW))) and (((LORNE LIPOWITZ))).	1.0
context:  post: RT @ramzpaul: ((( Sanders ))) https://t.co/Oui8xLAxTM	1.0
context:  post: خصوصاً ان ويز خليفه مو اي شيء تسحبين عليه (((ايقونة هيبهوب))) وش كان ضرها لو طلعت وغنّت؟المفروض انها مشّت الموضوع وتكون متعودة على هيك اشياء	0.0
context:  post: (((ديفرنت ستيج ذان ماي)))!!!!!. https://t.co/4t31YyBlVR	0.0
context:  post: Yanhe and Tianyi have such busy schedules lately I hardly get to see them ((((；゜Д゜)))	0.0
context:  post: Sometimes Yanhe brings her friends over for dinner, they're so cute (((o(*ﾟ▽ﾟ*)o)))	0.0
context:  post: @angel_reads (((hugs))) hope you're okay x	0.0
context:  post: RT @dril: i refuse to consume any product that has been created by, or is claimed to have been created by, the (((Keebler Elves)))	1.0
context:  post: #DumpStarWars is a good start, but dumping all of (((Hollywood))) would be better	1.0
context:  post: Cucked Journalist wonders why @DRUDGE didn't try to stop Trump.   Drudge must not have got the (((globalist))) memo https://t.co/2ZLyzZAEOz	1.0
context:  post: ((((Tonight and Every Wednesday Night!))) Coming out and Turn Up!! 🍗🍸🍹🍷🍗🍸🍹🍷🍗 http://t.co/3SCoCn0ea0	0.0
context:  post: #BackToSchool Edition (((Limited Time Only))) Grey/ Burgundy Jersey Sports Bra and 86 Pen skirt… http://t.co/4RIcfeOHnP	0.0
context:  post: RT @missellabell: Excellent thread about this ((( ))) thing.  https://t.co/CkLJgbNEAY	0.0
context:  post: RT @dril: i refuse to consume any product that has been created by, or is claimed to have been created by, the (((Keebler Elves)))	1.0
"context:  post: @JLDouglas1 BUT

BUT JL

(((( they're real ))))"	0.0
context:  post: RT @acroll: Why everyone has (((brackets))) around their names. https://t.co/0Q7MY1nMBu	0.0
context:  post: @casuteria yes man we need to (((( block ))))	0.0
"context:  post: omg hahaha I just heard my brother shouting, ""oh my god mom!! Tallia ((( our bird ))) ate chicken!!!!"""	0.0
"context:  post: RT @sandyJ_00: --------------&gt;  he ,,,  is 

((((((((( . @illuminati_00 . ))))))))) ... https://t.co/xaKSd5eEwG"	0.0
context:  post: RT @Merry___Xmas: -------------&gt;  #merry Christmas from ((((((((( . @illuminati_00 . ))))))))) https://t.co/xpVjXD8LIU	0.0
context:  post: (((Adzan)))	0.0
context:  post: ((((adzan))))	0.0
context:  post: (((the child is my younger brother)))	0.0
context:  post: @tanaford Awwwww Tana, on your latest podcast. Your crying made me cry 😢😢💚💚. You're so sweet (((hugs))) #hodor	0.0
"context:  post: RT @jdayandnight: chair set: 

(((ft some uncomf f21 nip covers but oh well))))) https://t.co/07zfyb5lOj"	0.0
context:  post: @frayserclick these (((parentheses))) are hugging your words	0.0
context:  post: (((real talk though im like. feeling really good rn??? first the scholarship thing and now a lil side job and book is going well??? :D ??)))	0.0
context:  post: (((someone tell me not to get my nose pierced otherwise im 100% gonna do it)))	0.0
"context:  post: @thekellyford 
Good Wednesday morning Ms Kelly 
(((💛)))"	0.0
context: slur name: hate, slur description: It is common for white supremacists to deny being racists or to claim to that the groups to which they belong are not hate groups, but in fact the word 'hate' itself is commonly used as a white supremacist symbol for tattoos and clothing. Many white supremacists use the word to openly proclaim their hatred of people unlike them.  It is particularly common as a tattoo across the fingers of a hand.  post: what do i watch after this. i'm gonna miss Kangchul and his heart-melting smile (damn i hate(((love)))) that smile) https://t.co/V3WUMtWWJm	0.0
"context:  post: ""Your hand fits in mine like it's made just for me,
But bear this in mind, it was meant to be""
 ♪♪(((≧▽≦)八(≧▽≦)))♪♪ https://t.co/fmXYXaRYEX"	0.0
context:  post: (((blessing the timeline))) https://t.co/UAPGottAjA	0.0
"context:  post: Happy (late)  birthday for my talented friend @ralviariyan !
(((*°▽°*)八(*°▽°*)))

Because batman is a… https://t.co/C7Vrl9i4Bj"	0.0
context:  post: Aku spam di twitter aja yah ((((；ﾟДﾟ))))))) Panic attack ketika lo gak ngelakuin trus ngaku2 ngelakuin hal yang jelasnya salah banget--- MAK	0.0
context:  post: I'm such a disgraceful to my family I should buy natto and burry myself in it ((((feeling ashamed))))	0.0
context:  post: @AlisonMcs yass homu homu (((o(*ﾟ▽ﾟ*)o)))	0.0
"context:  post: ((((( BREAKING NEWS )))))
Denham Town High School Alumni Association Dthsaa Ne Chapter presents;
. https://t.co/IDAMNkkk7z"	0.0
context:  post: ((((( MOTHERS OF THE UNIVERSE ))))) ARE WE READY TO REBEL FOR A CAUSE??? ARE WE READY TO GET UP... STAND UP...... http://t.co/JAmstsbdTF	0.0
"context:  post: RT @Doornebuzz: ((( 🔔 ))) TALK OF WEEKDAYS AND @TheSims 4 ((( 🔔 )))

https://t.co/LoIXDkye89"	0.0
"context:  post: kylie kendall kendall kylie
(((this song is dope)))"	0.0
context:  post: Live(((FREE)))Kansas City Royals vs Baltimore Orioles live streaming online #royals #bhive https://t.co/Z6oGrFUt0G	0.0
context:  post: this song makes me :())))))))((())))///// https://t.co/PjIiA2oH6e	0.0
context:  post: #StuffMyStockingWith Zyklon B. I have some (((pests))) to deal with.	1.0
context:  post: I knew the Alt-Right had been infiltrated by (((them)))	1.0
context:  post: #LRT Just lifted me so...things aren't as bad as they seem. *Winds body &amp; whispers (((My Neck, My Back)))*	0.0
context:  post: She really should've waited for the replay before tweeting. *whispers* (((Your husband fouled out toots.)))	0.0
"context:  post: #MusicMonday 
(((Spotlight Artist)))
@BossmanTr3nt"	0.0
"context:  post: #MusicMonday 
(((Featured Artist)))
@WES_KARDIGAN"	0.0
context:  post: RT @CorOfTheSUN: @_Eve_Sins @just_some_lady  (((🤗Healing friendship Hugs🤗))) 😊☀🌞It's the day of the SUN (Sunday!)🌞☀😊 Enjoy a great day!	0.0
"context:  post: RT @CorOfTheSUN: ""Gonna have a Funky Good Time!"" Happy Sunday! (((((((Super Funky Sunshine hugs from the Mothership!))))))) #World https://…"	0.0
context:  post: ((((( TYSON MUDA )))))	0.0
context:  post: ((((( BEDA ORMAS )))))	0.0
"context:  post: (((((((((( PUBLIC ADVISORY )))))))))
Don't wait till Last Minute !
WETRUSH EARLY BIRDS 󾌧
$800
FREE WETRUSH... https://t.co/vvIY59dAP3"	0.0
context:  post: Download HouseAlpha(((Lendoda)))###Prod.Dj KSB.mp3 https://t.co/N2kSWdQpqT	0.0
context:  post: (((Echoes))), exposed: The secret symbol neo-Nazis use to target Jews online https://t.co/DuvBwjLqSY via @Mic	0.0
context:  post: RT @prog_jews: Remember the (((Coincidence Detector)))? We've made it the 卐卐卐Nazi Detector卐卐卐. https://t.co/ThAfCnyyAb https://t.co/a0cGI1C…	1.0
context:  post: RT @micnews: (((Echoes))), exposed: there is a secret symbol neo-Nazis use to target Jews online https://t.co/wO8jSLN5Me https://t.co/KpNre…	1.0
context:  post: (((Mach Vee))) @djmachv: Back into the wonderful world of #saga #IM4GECOMICS https://t.co/o2BzaDEOFX https://t.co/XFM7RcuIvJ #imagecomics https://t.co/RlYtYfzgLn	0.0
context:  post: Big ((((hugs)))) to everyone who has a difficult time during the holiday whether you are alone or having to navigate family https://t.co/4zvs0OGDli	0.0
context:  post: I'd hit up @industrybyrick but I already read how busy he is this week (((hugs))) you do so much for our industry.	0.0
context:  post: RT @julius_juma: #Np niwe ndiwe by @mwangaBand some music r sweet wen it on (((((((volume+))))))) @jillojamwaka @hopeonair	0.0
context:  post: Nazis are starting to identify Jews with (((tepper13))).  I encourage everyone to use this and show these morons they can't win for losing.	0.0
context:  post: Ya Aloooooh lucuuuuu (((((( ˚艸˚)))	0.0
"context:  post: ""@essie: hey nailistas! follow us on snapchat essielovesnaps for bhind the scenes at YouTube for the essies nail art awards"" (((nailistas)))"	0.0
"context:  post: Merry Christmas!!! ((((hugs)))) @(^_^)@
Wishing you all a wonderful day! #MerryChristmas 
🎅🎅🎅🎅🎁🎁🎁🎁🐒🐒🐒🐒 https://t.co/sxEL644xAR"	0.0
"context:  post: RT @thefourmonkeys: Good morning/afternoon, tweethearts! @(^_^)@ (((hugs)))
Have a great day! :D xx
#MayThe4thBeWithYou #StarWars #Smile ht…"	0.0
